# gameid,levelid,screen,fingerprint
18612,001,0,v1:00000000000000000000000000000000000000ab00ab00abacad00ab00000000000000ac00ac0000ab0000ac00000000000000adabad0000ac00000000000000000000ae00ae00abacad00ab000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102030405060700000100010405060e0f101112131415000e0f02031213141c1d1e1f20212223001c1d04052021222a2b2c2d2e2f3031002a2b06072e2f3038393a3b3c3d3e3f00033908093c3d3e464748494a4b4c4d0001020a000106075455565758595a5b0e0f100c0203141562636465666768691c1d1e0e0405222370717273747576772a2b2c10060730317e7f80818283848538393a1208093e3f8c8d8e8f90919293464748140a0b4c4d9a9b9c9d9e9fa0a1545556160c0d5a5ba8f2aaabacadaeaf626364180e0f686924301a1b333f40747071721a10117677273435363744457e7e7f8081121384858682838485868788
18612,002,0,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f1011121314151600000000000000001718191a281c1d1e3d3e3f40414263001f2021222324282600000000000065002728292a2b2cadae00000000000028002f3048323334353600000000000000003738393a3b3c3d3e000000000000000000000000000000000000000000000000000000000000000000000102030405060000000000000000000011121314151600000000000000000000632223242526002202030405060708090a0b0c0d0e0f362437131415161718191a1b1c1d1e1f38254d232425262728292a2b2c2d2e2f313233c4c5c6c7c8c9ca3a3bc4c53e3f404142434445464748494a4b4c4d4e4f
18612,002,1,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000110000000f1011121314151600000000120000001718191a1b1c1d1e65000000600000001f2021222324252628000000610000002728292a2b2c2d2e44000000620000002f3031323334353600000000630001023738393a3b3c3d3e0000000064000001000000000000000000000000650010110000000000000000000000006600202100000000000000000000000067003031110000000000000000000000680040413c0000000000010203040506690850513d00000000001112131415161718191a3e00000000002122232425262728292a43c4c5c6c7c8200205060708090a0b0c330000000000300315161718191a1b1c
18612,002,2,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f101112131415160000000000000000171819631b281d1e0020650038003d3e1f202165232425260021610028000000272829612b2c2d2e00222800480000002f3031283334353600230000000000003738393a3b3c3d3e00240000000000000000000000000000002500000000000000000000000000000026000102030405000000000000000000270011121314150000000000010203042801282223242500000000001112131429030405222324000000000021222324120607083233340000000000200222231b090a0b4243440405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f20212223
18612,002,3,v1:000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000760000000000000000000000000000005010110000000000000000000000000051121300000000000000000000000000529815000000000000000000000000005316170000000000000000000000000054181900000000000000000000000000551a1b0000000000000000000f101112561c1d1600000000000000001718611a571e1f1e3d3e3f40414243381f2063225820212600000000000000282728652a5922232e00000000000000002f3061323134283600000000000000003738633a323c443e000000000000000000006500330000000000000000000000000028003400000000000102030405060000adae35000000000011129e14f6160000000036000102030421228c24f82600000000370d0e0f101120022223120100000000381a1b1c1d1e300332333b2b0000000d390f10111213400442433c2d00030405060708090a0b0c0d0e0f101100131415161718191a1b1c1d1e1f2021
18612,002,4,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f101112131415160000000000000000173819651b3d3e3f4041650061003d3e1f632161232425260000280063000000276529282b2c2d2e00004400650000002f6131323334353600000000280000003728393a3b3c3d3e00000000000000000048000000000000000000000000000000000000000000000000000000000000000000000000000001020304050607080000000000000000111213141516171800000102030405060708092425262728003c0000000000002002222324252627003d0000000000ff30033233343536370043c4c5c6c7c8c94004c4c5c6c7c8c900330000000000005005525354555657
18612,002,5,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f1011121314151600000000000000001718191a1b1c3d1e003800610065003d1f2021222324252633630038006100002728292a2b2c2d2e00650063002800002f3031323334353600380065000000003738393a3b3c3d3e00610028000000000000000000000000002800adae000000000000000000000000adae00000000000000000000000102030405060708090a00010203042e1112131415161718191a10111213144e2122232425262728292a20212223243e262728292a2b2c2d2e2f000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
18612,002,6,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f1011121314151600000000000000001718191a1b1c1d1e000050630065003d1f2021222324252600005165002800002728292a2b2c2d2e00005261000000002f3031323334353600005328000000003738393a3b3c3d3e000054000000000000000000000102030405060708090a0b000102030405060708090a0b0c0d1a1b000e0f101112131415161718191a2a00001b1c1d1e1f20212223242526270203000000000102030405060708090a0b0c00000102030405060708090a0b0c0d0e00101112131415161718191a1b1c1d1e0020000102030405060708090a0b0c0d0000101112131415161718191a1b1c1d
18612,002,7,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f1011121314151600000000000000001718191a1b1c1d1e006100630065003d1f2021222324252600280065003800002728292a2b2c2d2e00000028006300002f3031323334353600000000006500003738393a3b3c3d3e00000000006100000000000000000000000000000028000000000000000000000000000000adae00001102030405060708000000000000002b3c00000001020304050607090a06002c3d00003b2b2c2d3c0000000000000d2d3e00003c2e2f303d0000000000001a424300004142434443000000009801003233c4c53132333433c4c5c6c7c8c9ca00000000000000000000000000000300
18612,002,8,v1:0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f1011121314151600000000000000006318611a3d3e3f40380063003d3e6300652028222324252628006500000065002828292a2b2c2d2eadae2800000028004430313233343536000000000000adae3738393a3b3c3d3e000000000000000000000000000000000000000000000000000102030405060708090a0b0c0000000d0e0f101112131401020304050607081a1b1c1d1e1f202111121314151617180000000102030405612223242526010200000011121314156302222324251100000000612223242565033233343521010000002002c4c5c62804c4c5c6c7200200000030033233345005525354553003
