moderated,time,date,gameid,name,demo,sa1,collab,author,authors,submitter,combinedtype,length,fields_type,difficulty,warnings,url,section,tags,bps_files,json_files,data_txid
,1779423995,,42403,Wario World [SMWC-Waiting 2026-05-22],No,No,No,Nikotonic,Nikotonic,Nikotonic,Standard: Casual (diff_2) (standard),96 exit(s),Standard,Casual,,/?p=section&a=details&id=42403,smwhacks,"['move', 'moveset', 'new super mario bros', 'wario', 'smwc-waiting']",['7ff0ea1e7cd1fa8bc033894632ce2ecda65aafee.bps'],['7ff0ea1e7cd1fa8bc033894632ce2ecda65aafee.json'],ynmb69e6Vpqjrv7lWgXolbWmetTVkLP7wGlyzDBl4Ow
,1779110229,,42385,Yoshi's Revenge [SMWC-Waiting 2026-05-18],No,No,No,Oskise,Oskise,Oskise,Kaizo: Master (diff_6) (kaizo),46 exit(s),Kaizo,Master,,/?p=section&a=details&id=42385,smwhacks,"['bosses', 'custom music', 'exploration', 'gimmick', 'story', 'traditional', 'smwc-waiting']",['4a8b6befccce4db2391821bf61ef613a5946aba1.bps'],['4a8b6befccce4db2391821bf61ef613a5946aba1.json'],OgF056xVuD77-F_ScXt4aYIwIQVPZBtf_5TNmMLYeUQ
,1778998969,,42378,Niko Moveset [SMWC-Waiting 2026-05-17],No,No,No,Nikotonic,Nikotonic,Nikotonic,Standard: Casual (diff_2) (standard),96 exit(s),Standard,Casual,,/?p=section&a=details&id=42378,smwhacks,"['long jump', 'movement', 'new idea', 'niko', 'smwc-waiting']",['d47dcec9d8b3d8235c21f759213a055e5e46ba7d.bps'],['d47dcec9d8b3d8235c21f759213a055e5e46ba7d.json'],3fs_b03QDepcg69p6POnC67dJBGDvK2p38ZAq0GSDQ8
,1778952335,,42373,A Short Hack [SMWC-Waiting 2026-05-16],No,No,No,lactrohibro123,lactrohibro123,lactrohibro123,Kaizo: Advanced (diff_4) (kaizo),10 exit(s),Kaizo,Advanced,photosensitivity,/?p=section&a=details&id=42373,smwhacks,"['custom music', 'kaizo', 'vanilla', 'smwc-waiting']",['f5df408e01e788b2f13e23a11ae60328f149a6b4.bps'],['f5df408e01e788b2f13e23a11ae60328f149a6b4.json'],DsFOpilRjvQPn9oxwppHMV1xM8Qnbt8coH7pHWg3uhQ
,1778785730,,42359,SMW GRAPHICS Style SMB NES [SMWC-Waiting 2026-05-14],Yes,No,No,Meizerlr,Meizerlr,Meizerlr,Standard: Casual (diff_2) (standard),96 exit(s),Standard,Casual,,/?p=section&a=details&id=42359,smwhacks,"['custom backgrounds', 'custom music', 'graphics', 'smwc-waiting']",['6fe722db57552417ab77ed96def9875cea1296de.bps'],['6fe722db57552417ab77ed96def9875cea1296de.json'],QmCAj0NsgLusDUlyZ6bcSS45rnAgjbtsCySK0uzJSdU
,1778680478,,42350,Super Mario World and the Celestial Flower [SMWC-Waiting 2026-05-13],No,No,No,lactrohibro123,lactrohibro123,lactrohibro123,Standard: Intermediate (diff_3) (standard),96 exit(s),Standard,Intermediate,photosensitivity,/?p=section&a=details&id=42350,smwhacks,"['semi-kaizo', 'trolly and blind jumps', 'vanilla', 'smwc-waiting']",['16849fe4b9611d69c09e89064940146e345033c5.bps'],['16849fe4b9611d69c09e89064940146e345033c5.json'],zwkuOUIGa4f3xJNMS1xuXU9hX0A6xIx-uelWmi_QjHM
,1778469940,,42336,PLAYTIME [SMWC-Waiting 2026-05-11],No,No,No,Insanit,Insanit,Insanit,Kaizo: Expert (diff_5) (kaizo),17 exit(s),Kaizo,Expert,photosensitivity,/?p=section&a=details&id=42336,smwhacks,"['asm', 'bosses', 'chocolate', 'custom music', 'gimmick', 'platforming', 'smwc-waiting']",['2febb0b68977c7b9ba7429e6df7864a26a1119e1.bps'],['2febb0b68977c7b9ba7429e6df7864a26a1119e1.json'],waauHrz0sK0qRlU-AlCrq2T0OHIQtKa9fw_GuFT7oTM
,1777962691,,42311,Super Erre >:D [SMWC-Waiting 2026-05-05],No,No,No,PIRITOO_KING,PIRITOO_KING,PIRITOO_KING,Standard: Intermediate (diff_3) (standard),20 exit(s),Standard,Intermediate,,/?p=section&a=details&id=42311,smwhacks,"['absurd', 'humor', 'standard', 'story', 'weird', 'smwc-waiting']",['d4867fe807236fbd77f74009e8dfbd3c311029c5.bps'],['d4867fe807236fbd77f74009e8dfbd3c311029c5.json'],o1znD1XSYAUvAGWk9He7wwXpvKjifYyYNnfEJgkofaI
,1777675153,,42295,Yoshi Commits Tax Fraud [SMWC-Waiting 2026-05-01],No,No,No,Ember the Mediocre,Ember the Mediocre,Ember the Mediocre,Kaizo: Master (diff_6) (kaizo),16 exit(s),Kaizo,Master,,/?p=section&a=details&id=42295,smwhacks,"['joke', 'precision', 'shell', 'yoshi', 'smwc-waiting']",['9f95d591dfc8b37c6e2a434b75f9e99b5c2c86f7.bps'],['9f95d591dfc8b37c6e2a434b75f9e99b5c2c86f7.json'],_bocGAJSPGc1M8E5PyTkT5GcT3Xr8v2CMJ11wELSr8w
,1777253817,,42272,Yoshi's Island by Zorrito [SMWC-Waiting 2026-04-27],No,No,No,ZorritoKF,ZorritoKF,ZorritoKF,Puzzle: Expert (diff_5) (puzzle),1 exit(s),Puzzle,Expert,,/?p=section&a=details&id=42272,smwhacks,"['troll', 'smwc-waiting']",['1fae74ca191916a52b8294db0e37c94eccccd67b.bps'],['1fae74ca191916a52b8294db0e37c94eccccd67b.json'],Ob4hE0FBsQFHFgD4i6L611ehjKuNBtk1RqrUSryC1kA
