moderated,time,date,gameid,name,demo,sa1,collab,author,authors,submitter,combinedtype,length,fields_type,difficulty,warnings,url,section,tags,bps_files,json_files,
,,13 Jan 2019,18801,SMW The Princess Rescue 2 - Luigi's Journey!,,,,,bandicoot,,,,,Normal,,/?p=section&a=details&id=18801,,,"['2b5ebb83206b163d0e20b8fe51f8b9e81b980996.bps', '0507eccd017ec6fcb6a061a49873e8187bb2abdd.bps']","['2b5ebb83206b163d0e20b8fe51f8b9e81b980996.json', '0507eccd017ec6fcb6a061a49873e8187bb2abdd.json']",
,,13 Jan 2019,18832,Kaizo Youko World,,,,,Youko Onji,,,,,Kaizo: Light,,/?p=section&a=details&id=18832,,,"['8cd23d3cf6790747e21b85aa3202e6bebe8bb1ea.bps', 'bdb3c360649f1a0928eb6d4fde9d8003e6749b4f.bps']","['8cd23d3cf6790747e21b85aa3202e6bebe8bb1ea.json', 'bdb3c360649f1a0928eb6d4fde9d8003e6749b4f.json']",
,,13 Jan 2019,18884,New Schlitterbahn Mario World - The 6 Stars,,,,,izaguirrefermin28,,,,,Hard,,/?p=section&a=details&id=18884,,,['bfe3ac5b5c39971770597d40dc01e263df7b7b09.bps'],['bfe3ac5b5c39971770597d40dc01e263df7b7b09.json'],
,,13 Jan 2019,18914,MariosauveYoshi,,,,,reggen57,,,,,Normal,,/?p=section&a=details&id=18914,,,['fa3c52d8acc08290ba11af5f989960f64f610c87.bps'],['fa3c52d8acc08290ba11af5f989960f64f610c87.json'],
,,13 Jan 2019,18943,Super Alicorn Sisters: Return of the Tantabus DEMO 0.05.1 (A My Little Pony hack),,,,,DPBOX,,,,,Easy,,/?p=section&a=details&id=18943,,,['dfb5f341491c7a463a1c10af4668870bfac09ce1.bps'],['dfb5f341491c7a463a1c10af4668870bfac09ce1.json'],
,,16 Jan 2019,18960,Mario's on a New Adventure!,,,,,LethalBrownies,,,,,Hard,,/?p=section&a=details&id=18960,,,['20a31eaf2eb97bac147b92166dd8f45f57b08790.bps'],['20a31eaf2eb97bac147b92166dd8f45f57b08790.json'],
,,16 Jan 2019,18961,Super Mario World 3 - Mario saves the Yoshis - Beta 1.0,,,,,GamecraftOriginal,,,,,Normal,,/?p=section&a=details&id=18961,,,['65358b2c5ffd668bbc37dd53e360d3ddbc5011c9.bps'],['65358b2c5ffd668bbc37dd53e360d3ddbc5011c9.json'],
,,17 Jan 2019,18967,Mario Kick World,,,,,Yagami,,,,,Kaizo: Light,,/?p=section&a=details&id=18967,,,['45bed5647a49b8be13fa48ae379414a145ebd18e.bps'],['45bed5647a49b8be13fa48ae379414a145ebd18e.json'],
,,17 Jan 2019,18971,Mario's Moonwalk,,,,,GamecraftOriginal,,,,,Normal,,/?p=section&a=details&id=18971,,,"['5dba4835eb877efe37e09c6ac5a3478545812404.bps', '88507f6e715a26c4bf058029d5aecc6456bb0d30.bps']","['5dba4835eb877efe37e09c6ac5a3478545812404.json', '88507f6e715a26c4bf058029d5aecc6456bb0d30.json']",
,,19 Jan 2019,18979,Super Mario World: WW2 Edition,,,,,5003erX,,,,,Kaizo: Light,,/?p=section&a=details&id=18979,,,"['443ea1eb0ad74912887b860ea6fe0b4c7e0b36a6.bps', '6e8aff09f450ef95a2c760254d18bc98b59648b6.bps', 'ba2a8b283cafe695dfe75c6480a5490b2aad336b.bps']","['443ea1eb0ad74912887b860ea6fe0b4c7e0b36a6.json', '6e8aff09f450ef95a2c760254d18bc98b59648b6.json', 'ba2a8b283cafe695dfe75c6480a5490b2aad336b.json']",
,,20 Jan 2019,18984,Terminus,,,,,Kr00mmi,,,,,Kaizo: Light,,/?p=section&a=details&id=18984,,,['906ec6ea979298ba92884ab4963c38aa4699844b.bps'],['906ec6ea979298ba92884ab4963c38aa4699844b.json'],
,,20 Jan 2019,18991,Gateway to madness: The mansion labyrinth,,,,,Jonathan82GR,,,,,Hard,,/?p=section&a=details&id=18991,,,['6ff39626dd5fd89e2bf7225f80b17c0869ec25fe.bps'],['6ff39626dd5fd89e2bf7225f80b17c0869ec25fe.json'],
,,20 Jan 2019,18992,Krack The Hack,,,,,"Daizo Dee Von, Mellonpizza",,,,,Very Hard,,/?p=section&a=details&id=18992,,,['47c3ef82dbefd384420c1ff76851a789161d69e9.bps'],['47c3ef82dbefd384420c1ff76851a789161d69e9.json'],
,,21 Jan 2019,18997,SMW SMB1 Style Hack (Final Version),,,,,HoonBee,,,,,Normal,,/?p=section&a=details&id=18997,,,['a9012577dca89e8540677ae530f80521386dfee0.bps'],['a9012577dca89e8540677ae530f80521386dfee0.json'],
,,21 Jan 2019,18998,SMW SMB1 Style Hack (Final Version),,,,,HoonBee,,,,,Normal,,/?p=section&a=details&id=18998,,,['3656643394f9c2576a5def004a57b3d7c7b000e9.bps'],['3656643394f9c2576a5def004a57b3d7c7b000e9.json'],
